query	sample_id	kmer_similarity
IS_length_1391-IPR001207_495_804	SAMEA104208688	0.9713445995591476
IS_length_1391-IPR001207_495_804	SAMN00000628	0.9713445995591476
IS_length_1391-IPR001207_495_804	SAMN02364020	0.9713445995591476
IS_length_1391-IPR001207_495_804	SAMN09730361	0.97060984570169
IS_length_1391-IPR001207_495_804	SAMN09730362	0.97060984570169
IS_length_1391-IPR001207_495_804	SAMN09730363	0.97060984570169
IS_length_1391-IPR001207_495_804	SAMN09730364	0.97060984570169
IS_length_1391-IPR001207_495_804	SAMN09730365	0.9698750918442322
IS_length_1391-IPR001207_495_804	SAMEA3594181	0.9698750918442322
IS_length_1391-IPR001207_495_804	SAMN03434243	0.9691403379867745
IS_length_1391-IPR001207_495_804	SAMN02628515	0.9639970609845702
IS_length_1391-IPR001207_495_804	SAMN09730366	0.9559147685525349
IS_length_1391-IPR001207_495_804	SAMN07659768	0.9551800146950772
IS_length_1391-IPR001207_495_804	SAMN09730370	0.9544452608376194
IS_length_1391-IPR001207_495_804	SAMN07660051	0.9368111682586333
IS_length_1391-IPR001207_495_804	SAMD00008853	0.9316678912564291
IS_length_1391-IPR001207_495_804	SAMN07946437	0.9235855988243938
IS_length_1391-IPR001207_495_804	SAMN05462098	0.922850844966936
IS_length_1391-IPR001207_495_804	SAMN07659410	0.9110947832476121
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMEA871978	0.9468317552804079
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN01920575	0.9155134741442098
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473575	0.9067734887108522
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473579	0.9067734887108522
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473582	0.9067734887108522
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473769	0.9067734887108522
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473773	0.9067734887108522
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473613	0.9067734887108522
IS_length_1403-PTHR46889_64_862-IPR036397_376_868-IPR012337_364_871	SAMN06473617	0.9067734887108522
IS_length_1409-IPR013762_713_1316	SAMEA871984	0.9840464104423495
IS_length_1409-IPR013762_713_1316	SAMEA3545353	0.9267585206671501
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMN03197673	1.0
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMN08732448	0.9934924078091106
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMN08732559	0.9898770788141721
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMEA678143	0.9833694866232827
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMEA3506844	0.9790310918293564
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMEA104153406	0.9616775126536515
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMN00690720	0.9602313810556761
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMEA678144	0.9522776572668112
IS_length_1413-IPR002559_441_1116-PTHR33258_126_1158-IPR012337_255_1176	SAMEA678504	0.9522776572668112
IS_length_1414-IPR010095_820_1060-IPR010095_979_1222-IPR001959_571_916-PTHR30405_76_1273	SAMN08501101	0.9436416184971098
IS_length_1429-IPR002514_233_407-IPR036397_873_1188-IPR012337_885_1272-PTHR42648_645_1290	SAMEA4362486	0.9578270192994996
IS_length_1429-IPR002514_233_407-IPR036397_873_1188-IPR012337_885_1272-PTHR42648_645_1290	SAMEA4362518	0.9363831308077198
IS_length_1429-IPR002514_233_407-IPR036397_873_1188-IPR012337_885_1272-PTHR42648_645_1290	SAMEA4362452	0.9328091493924232
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN09466937	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN03197571	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA104113838	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA3882119	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN03198094	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA2674798	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMEA2658371	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07658599	1.0
IS_length_1435-IPR036397_891_1383-PTHR42648_750_1395-IPR012337_891_1377-PTHR42648:SF3_750_1395	SAMN07660042	1.0
